"number","ja","en","de","fr","ko","zh-cn","zh-tw"
"329","ビブラーバ","vibrava","vibrava","vibraninf","비브라바","超音波幼虫","超音波幼蟲"
"330","フライゴン","flygon","libelldra","libegon","플라이곤","沙漠蜻蜓","沙漠蜻蜓"
"331","サボネア","cacnea","tuska","cacnea","선인왕","刺球仙人掌","刺球仙人掌"
"332","ノクタス","cacturne","noktuska","cacturne","밤선인","梦歌仙人掌","夢歌仙人掌"
"333","チルット","swablu","wablu","tylton","파비코","青绵鸟","青綿鳥"
"334","チルタリス","altaria","altaria","altaria","파비코리","七夕青鸟","七夕青鳥"
"335","ザングース","zangoose","sengo","mangriff","쟝고","猫鼬斩","貓鼬斬"
"336","ハブネーク","seviper","vipitis","seviper","세비퍼","饭匙蛇","飯匙蛇"
"337","ルナトーン","lunatone","lunastein","seleroc","루나톤","月石","月石"
"338","ソルロック","solrock","sonnfel","solaroc","솔록","太阳岩","太陽岩"
"339","ドジョッチ","barboach","schmerbe","barloche","미꾸리","泥泥鳅","泥泥鰍"
"340","ナマズン","whiscash","welsar","barbicha","메깅","鲶鱼王","鯰魚王"
"341","ヘイガニ","corphish","krebscorps","ecrapince","가재군","龙虾小兵","龍蝦小兵"
"342","シザリガー","crawdaunt","krebutack","colhomard","가재장군","铁螯龙虾","鐵螯龍蝦"
"343","ヤジロン","baltoy","puppance","balbuto","오뚝군","天秤偶","天秤偶"
"344","ネンドール","claydol","lepumentas","kaorine","점토도리","念力土偶","念力土偶"
"345","リリーラ","lileep","liliep","lilia","릴링","触手百合","觸手百合"
"346","ユレイドル","cradily","wielie","vacilys","릴리요","摇篮百合","搖籃百合"
"347","アノプス","anorith","anorith","anorith","아노딥스","太古羽虫","太古羽蟲"
"348","アーマルド","armaldo","armaldo","armaldo","아말도","太古盔甲","太古盔甲"
"349","ヒンバス","feebas","barschwa","barpau","빈티나","丑丑鱼","醜醜魚"
"350","ミロカロス","milotic","milotic","milobellus","밀로틱","美纳斯","美納斯"
"351","ポワルン","castform","formeo","morpheo","캐스퐁","飘浮泡泡","飄浮泡泡"
"352","カクレオン","kecleon","kecleon","kecleon","켈리몬","变隐龙","變隱龍"
"353","カゲボウズ","shuppet","shuppet","polichombr","어둠대신","怨影娃娃","怨影娃娃"
"354","ジュペッタ","banette","banette","branette","다크펫","诅咒娃娃","詛咒娃娃"
"355","ヨマワル","duskull","zwirrlicht","skelenox","해골몽","夜巡灵","夜巡靈"
"356","サマヨール","dusclops","zwirrklop","teraclope","미라몽","彷徨夜灵","彷徨夜靈"
"357","トロピウス","tropius","tropius","tropius","트로피우스","热带龙","熱帶龍"
"358","チリーン","chimecho","palimpalim","eoko","치렁","风铃铃","風鈴鈴"
"359","アブソル","absol","absol","absol","앱솔","阿勃梭鲁","阿勃梭魯"
"360","ソーナノ","wynaut","isso","okeoke","마자","小果然","小果然"
"361","ユキワラシ","snorunt","schneppke","stalgamin","눈꼬마","雪童子","雪童子"
"362","オニゴーリ","glalie","firnontor","oniglali","얼음귀신","冰鬼护","冰鬼護"
"363","タマザラシ","spheal","seemops","obalie","대굴레오","海豹球","海豹球"
"364","トドグラー","sealeo","seejong","phogleur","씨레오","海魔狮","海魔獅"
"365","トドゼルガ","walrein","walraisa","kaimorse","씨카이저","帝牙海狮","帝牙海獅"
"366","パールル","clamperl","perlu","coquiperl","진주몽","珍珠贝","珍珠貝"
"367","ハンテール","huntail","aalabyss","serpang","헌테일","猎斑鱼","獵斑魚"
"368","サクラビス","gorebyss","saganabyss","rosabyss","분홍장이","樱花鱼","櫻花魚"
"369","ジーランス","relicanth","relicanth","relicanth","시라칸","古空棘鱼","古空棘魚"
"370","ラブカス","luvdisc","liebiskus","lovdisc","사랑동이","爱心鱼","愛心魚"
"371","タツベイ","bagon","kindwurm","draby","아공이","宝贝龙","寶貝龍"
"372","コモルー","shelgon","draschel","drackhaus","쉘곤","甲壳龙","甲殼龍"
"373","ボーマンダ","salamence","brutalanda","drattak","보만다","暴飞龙","暴飛龍"
"374","ダンバル","beldum","tanhel","terhal","메탕","铁哑铃","鐵啞鈴"
"375","メタング","metang","metang","metang","메탕구","金属怪","金屬怪"
"376","メタグロス","metagross","metagross","metalosse","메타그로스","巨金怪","巨金怪"
"377","レジロック","regirock","regirock","regirock","레지락","雷吉洛克","雷吉洛克"
"378","レジアイス","regice","regice","regice","레지아이스","雷吉艾斯","雷吉艾斯"
"379","レジスチル","registeel","registeel","registeel","레지스틸","雷吉斯奇鲁","雷吉斯奇魯"
"380","ラティアス","latias","latias","latias","라티아스","拉帝亚斯","拉帝亞斯"
"381","ラティオス","latios","latios","latios","라티오스","拉帝欧斯","拉帝歐斯"
"382","カイオーガ","kyogre","kyogre","kyogre","가이오가","盖欧卡","蓋歐卡"
"383","グラードン","groudon","groudon","groudon","그란돈","固拉多","固拉多"
"384","レックウザ","rayquaza","rayquaza","rayquaza","레쿠쟈","烈空坐","烈空坐"
"385","ジラーチ","jirachi","jirachi","jirachi","지라치","基拉祈","基拉祈"
"386","デオキシス","deoxys","deoxys","deoxys","테오키스","代欧奇希斯","代歐奇希斯"
"387","ナエトル","turtwig","chelast","tortipouss","모부기","草苗龟","草苗龜"
"388","ハヤシガメ","grotle","chelcarain","boskara","수풀부기","树林龟","樹林龜"
"389","ドダイトス","torterra","chelterrar","torterra","토대부기","土台龟","土台龜"
"390","ヒコザル","chimchar","panflam","ouisticram","불꽃숭이","小火焰猴","小火焰猴"
"391","モウカザル","monferno","panpyro","chimpenfeu","파이숭이","猛火猴","猛火猴"
"392","ゴウカザル","infernape","panferno","simiabraz","초염몽","烈焰猴","烈焰猴"
"393","ポッチャマ","piplup","plinfa","tiplouf","팽도리","波加曼","波加曼"
"394","ポッタイシ","prinplup","pliprin","prinplouf","팽태자","波皇子","波皇子"
"395","エンペルト","empoleon","impoleon","pingoleon","엠페르트","帝王拿波","帝王拿波"
"396","ムックル","starly","staralili","etourmi","찌르꼬","姆克儿","姆克兒"
"397","ムクバード","staravia","staravia","etourvol","찌르버드","姆克鸟","姆克鳥"
"398","ムクホーク","staraptor","staraptor","etouraptor","찌르호크","姆克鹰","姆克鷹"
"399","ビッパ","bidoof","bidiza","keunotor","비버니","大牙狸","大牙狸"
"400","ビーダル","bibarel","bidifas","castorno","비버통","大尾狸","大尾狸"
"401","コロボーシ","kricketot","zirpurze","crikzik","귀뚤뚜기","圆法师","圓法師"
"402","コロトック","kricketune","zirpeise","melokrik","귀뚤톡크","音箱蟀","音箱蟀"
"403","コリンク","shinx","sheinux","lixy","꼬링크","小猫怪","小貓怪"
"404","ルクシオ","luxio","luxio","luxio","럭시오","勒克猫","勒克貓"
"405","レントラー","luxray","luxtra","luxray","렌트라","伦琴猫","倫琴貓"
"406","スボミー","budew","knospi","rozbouton","꼬몽울","含羞苞","含羞苞"
"407","ロズレイド","roserade","roserade","roserade","로즈레이드","罗丝雷朵","羅絲雷朵"
"408","ズガイドス","cranidos","koknodon","kranidos","두개도스","头盖龙","頭蓋龍"
"409","ラムパルド","rampardos","rameidon","charkos","램펄드","战槌龙","戰槌龍"
"410","タテトプス","shieldon","schilterus","dinoclier","방패톱스","盾甲龙","盾甲龍"
"411","トリデプス","bastiodon","bollterus","bastiodon","바리톱스","护城龙","護城龍"
"412","ミノムッチ","burmy","burmy","cheniti","도롱충이","结草儿","結草兒"
"413","ミノマダム","wormadam","burmadame","cheniselle","도롱마담","结草贵妇","結草貴婦"
"414","ガーメイル","mothim","moterpel","papilord","나메일","绅士蛾","紳士蛾"
"415","ミツハニー","combee","wadribie","apitrini","세꿀버리","三蜜蜂","三蜜蜂"
"416","ビークイン","vespiquen","honweisel","apireine","비퀸","蜂女王","蜂女王"
"417","パチリス","pachirisu","pachirisu","pachirisu","파치리스","帕奇利兹","帕奇利茲"
"418","ブイゼル","buizel","bamelin","mustebouee","브이젤","泳圈鼬","泳圈鼬"
"419","フローゼル","floatzel","bojelin","musteflott","플로젤","浮潜鼬","浮潛鼬"
"420","チェリンボ","cherubi","kikugi","ceribou","체리버","樱花宝","櫻花寶"
"421","チェリム","cherrim","kinoso","ceriflor","체리꼬","樱花儿","櫻花兒"
"422","カラナクシ","shellos","schalellos","sancoki","깝질무","无壳海兔","無殼海兔"
"423","トリトドン","gastrodon","gastrodon","tritosor","트리토돈","海兔兽","海兔獸"
"424","エテボース","ambipom","ambidiffel","capidextre","겟핸보숭","双尾怪手","雙尾怪手"
"425","フワンテ","drifloon","driftlon","baudrive","흔들풍손","飘飘球","飄飄球"
"426","フワライド","drifblim","drifzepeli","grodrive","둥실라이드","随风球","隨風球"
"427","ミミロル","buneary","haspiror","laporeille","이어롤","卷卷耳","捲捲耳"
"428","ミミロップ","lopunny","schlapor","lockpin","이어롭","长耳兔","長耳兔"
"429","ムウマージ","mismagius","traunmagil","magireve","무우마직","梦妖魔","夢妖魔"
"430","ドンカラス","honchkrow","kramshef","corboss","돈크로우","乌鸦头头","烏鴉頭頭"
"431","ニャルマー","glameow","charmian","chaglam","나옹마","魅力喵","魅力喵"
"432","ブニャット","purugly","shnurgarst","chaffreux","몬냥이","东施喵","東施喵"
"433","リーシャン","chingling","klingplim","korillon","랑딸랑","铃铛响","鈴鐺響"
"434","スカンプー","stunky","skunkapuh","moufouette","스컹뿡","臭鼬噗","臭鼬噗"
"435","スカタンク","skuntank","skuntank","moufflair","스컹탱크","坦克臭鼬","坦克臭鼬"
"436","ドーミラー","bronzor","bronzel","archeomire","동미러","铜镜怪","銅鏡怪"
"437","ドータクン","bronzong","bronzong","archeodong","동탁군","青铜钟","青銅鐘"
"438","ウソハチ","bonsly","mobai","manzai","꼬지지","盆才怪","盆才怪"
"439","マネネ","mime jr.","pantimimi","mime jr","흉내내","魔尼尼","魔尼尼"
"440","ピンプク","happiny","wonneira","ptiravi","핑복","小福蛋","小福蛋"
"441","ペラップ","chatot","plaudagei","pijako","페라페","聒噪鸟","聒噪鳥"
"442","ミカルゲ","spiritomb","kryppuk","spiritomb","화강돌","花岩怪","花岩怪"
"443","フカマル","gible","kaumalat","griknot","딥상어동","圆陆鲨","圓陸鯊"
"444","ガバイト","gabite","knarksel","carmache","한바이트","尖牙陆鲨","尖牙陸鯊"
"445","ガブリアス","garchomp","knakrack","carchacrok","한카리아스","烈咬陆鲨","烈咬陸鯊"
"446","ゴンベ","munchlax","mampfaxo","goinfrex","먹고자","小卡比兽","小卡比獸"
"447","リオル","riolu","riolu","riolu","리오르","利欧路","利歐路"
"448","ルカリオ","lucario","lucario","lucario","루카리오","路卡利欧","路卡利歐"
"449","ヒポポタス","hippopotas","hippopotas","hippopotas","히포포타스","沙河马","沙河馬"
"450","カバルドン","hippowdon","hippoterus","hippodocus","하마돈","河马兽","河馬獸"
"451","スコルピ","skorupi","pionskora","rapion","스콜피","钳尾蝎","鉗尾蠍"
"452","ドラピオン","drapion","piondragi","drascore","드래피온","龙王蝎","龍王蠍"
"453","グレッグル","croagunk","glibunkel","cradopaud","삐딱구리","不良蛙","不良蛙"
"454","ドクロッグ","toxicroak","toxiquak","coatox","독개굴","毒骷蛙","毒骷蛙"
"455","マスキッパ","carnivine","venuflibis","vortente","무스틈니","尖牙笼","尖牙籠"
"456","ケイコウオ","finneon","finneon","ecayon","형광어","荧光鱼","螢光魚"
"457","ネオラント","lumineon","lumineon","lumineon","네오라이트","霓虹鱼","霓虹魚"
"458","タマンタ","mantyke","mantirps","babimanta","타만타","小球飞鱼","小球飛魚"
"459","ユキカブリ","snover","shnebedeck","blizzi","눈쓰개","雪笠怪","雪笠怪"
"460","ユキノオー","abomasnow","rexblisar","blizzaroi","눈설왕","暴雪王","暴雪王"
"461","マニューラ","weavile","snibunna","dimoret","포푸니라","玛狃拉","瑪狃拉"
"462","ジバコイル","magnezone","magnezone","magnezone","자포코일","自爆磁怪","自爆磁怪"
"463","ベロベルト","lickilicky","schlurplek","coudlangue","내룸벨트","大舌舔","大舌舔"
"464","ドサイドン","rhyperior","rihornior","rhinastoc","거대코뿌리","超甲狂犀","超甲狂犀"
"465","モジャンボ","tangrowth","tangoloss","bouldeneu","덩쿠림보","巨蔓藤","巨蔓藤"
"466","エレキブル","electivire","elevoltek","elekable","에레키블","电击魔兽","電擊魔獸"
"467","ブーバーン","magmortar","magbrant","maganon","마그마번","鸭嘴炎兽","鴨嘴炎獸"
"468","トゲキッス","togekiss","togekiss","togekiss","토게키스","波克基斯","波克基斯"
"469","メガヤンマ","yanmega","yanmega","yanmega","메가자리","远古巨蜓","遠古巨蜓"
"470","リーフィア","leafeon","folipurba","phyllali","리피아","叶伊布","葉伊布"
"471","グレイシア","glaceon","glaziola","givrali","글레이시아","冰伊布","冰伊布"
"472","グライオン","gliscor","skorgro","scorvol","글라이온","天蝎王","天蠍王"
"473","マンムー","mamoswine","mamutel","mammochon","맘모꾸리","象牙猪","象牙豬"
"474","ポリゴンz","porygon-z","porygon-z","porygon-z","폴리곤z","多边兽乙型","多邊獸ｚ"
"475","エルレイド","gallade","galagladi","gallame","엘레이드","艾路雷朵","艾路雷朵"
"476","ダイノーズ","probopass","voluminas","tarinorme","대코파스","大朝北鼻","大朝北鼻"
"477","ヨノワール","dusknoir","zwirrfinst","noctunoir","야느와르몽","黑夜魔灵","黑夜魔靈"
"478","ユキメノコ","froslass","frosdedje","momartik","눈여아","雪妖女","雪妖女"
"479","ロトム","rotom","rotom","motisma","로토무","洛托姆","洛托姆"
"480","ユクシー","uxie","selfe","crehelf","유크시","由克希","由克希"
"481","エムリット","mesprit","vesprit","crefollet","엠라이트","艾姆利多","艾姆利多"
"482","アグノム","azelf","tobutz","crefadet","아그놈","亚克诺姆","亞克諾姆"
"483","ディアルガ","dialga","dialga","dialga","디아루가","帝牙卢卡","帝牙盧卡"
"484","パルキア","palkia","palkia","palkia","펄기아","帕路奇亚","帕路奇亞"
"485","ヒードラン","heatran","heatran","heatran","히드런","席多蓝恩","席多藍恩"
"486","レジギガス","regigigas","regigigas","regigigas","레지기가스","雷吉奇卡斯","雷吉奇卡斯"
"487","ギラティナ","giratina","giratina","giratina","기라티나","骑拉帝纳","騎拉帝納"
"488","クレセリア","cresselia","cresselia","cresselia","크레세리아","克雷色利亚","克雷色利亞"
"489","フィオネ","phione","phione","phione","피오네","霏欧纳","霏歐納"
"490","マナフィ","manaphy","manaphy","manaphy","마나피","玛纳霏","瑪納霏"
"491","ダークライ","darkrai","darkrai","darkrai","다크라이","达克莱伊","達克萊伊"
"492","シェイミ","shaymin","shaymin","shaymin","쉐이미","谢米","謝米"
"493","アルセウス","arceus","arceus","arceus","아르세우스","阿尔宙斯","阿爾宙斯"
"494","ビクティニ","victini","victini","victini","비크티니","比克提尼","比克提尼"
"495","ツタージャ","snivy","serpifeu","vipélierre","주리비얀","藤藤蛇","藤藤蛇"
"496","ジャノビー","servine","efoserp","lianaja","샤비","青藤蛇","青藤蛇"
"497","ジャローダ","serperior","serpiroyal","majaspic","샤로다","君主蛇","君主蛇"
"498","ポカブ","tepig","floink","gruikui","뚜꾸리","暖暖猪","暖暖豬"
"499","チャオブー","pignite","ferkokel","grotichon","챠오꿀","炒炒猪","炒炒豬"
"500","エンブオー","emboar","flambirex","roitiflam","염무왕","炎武王","炎武王"
"501","ミジュマル","oshawott","ottaro","moustillon","수댕이","水水獭","水水獺"
"502","フタチマル","dewott","zwottronin","mateloutre","쌍검자비","双刃丸","雙刃丸"
"503","ダイケンキ","samurott","admurai","clamiral","대검귀","大剑鬼","大劍鬼"
"504","ミネズミ","patrat","nagelotz","ratentif","보르쥐","探探鼠","探探鼠"
"505","ミルホッグ","watchog","kukmarda","miradar","보르그","步哨鼠","步哨鼠"
"506","ヨーテリー","lillipup","yorkleff","ponchiot","요테리","小约克","小約克"
"507","ハーデリア","herdier","terribark","ponchien","하데리어","哈约克","哈約克"
"508","ムーランド","stoutland","bissbark","mastouffe","바랜드","长毛狗","長毛狗"
"509","チョロネコ","purrloin","felilou","chacripan","쌔비냥","扒手猫","扒手貓"
"510","レパルダス","liepard","kleoparda","léopardas","레파르다스","酷豹","酷豹"
"511","ヤナップ","pansage","vegimak","feuillajou","야나프","花椰猴","花椰猴"
"512","ヤナッキー","simisage","vegichita","feuiloutan","야나키","花椰猿","花椰猿"
"513","バオップ","pansear","grillmak","flamajou","바오프","爆香猴","爆香猴"
"514","バオッキー","simisear","grillchita","flamoutan","바오키","爆香猿","爆香猿"
"515","ヒヤップ","panpour","sodamak","flotajou","앗차프","冷水猴","冷水猴"
"516","ヒヤッキー","simipour","sodachita","flotoutan","앗차키","冷水猿","冷水猿"
"517","ムンナ","munna","somniam","munna","몽나","食梦梦","食夢夢"
"518","ムシャーナ","musharna","somnivora","mushana","몽얌나","梦梦蚀","夢夢蝕"
"519","マメパト","pidove","dusselgurr","poichigeon","콩둘기","豆豆鸽","豆豆鴿"
"520","ハトーボー","tranquill","navitaub","colombeau","유토브","咕咕鸽","咕咕鴿"
"521","ケンホロウ","unfezant","fasasnob","déflaisan","켄호로우","高傲雉鸡","高傲雉雞"
"522","シママ","blitzle","elezeba","zébribon","줄뮤마","斑斑马","斑斑馬"
"523","ゼブライカ","zebstrika","zebritz","zéblitz","제브라이카","雷电斑马","雷電斑馬"
"524","ダンゴロ","roggenrola","kiesling","nodulithe","단굴","石丸子","石丸子"
"525","ガントル","boldore","sedimantur","géolithe","암트르","地幔岩","地幔岩"
"526","ギガイアス","gigalith","brockoloss","gigalithe","기가이어스","庞岩怪","龐岩怪"
"527","コロモリ","woobat","fleknoil","chovsourir","또르박쥐","滚滚蝙蝠","滾滾蝙蝠"
"528","ココロモリ","swoobat","fletiamo","rhinolove","맘박쥐","心蝙蝠","心蝙蝠"
"529","モグリュー","drilbur","rotomurf","rototaupe","두더류","螺钉地鼠","螺釘地鼠"
"530","ドリュウズ","excadrill","stalobor","minotaupe","몰드류","龙头地鼠","龍頭地鼠"
"531","タブンネ","audino","ohrdoch","nanméouïe","다부니","差不多娃娃","差不多娃娃"
"532","ドッコラー","timburr","praktibalk","charpenti","으랏차","搬运小匠","搬運小匠"
"533","ドテッコツ","gurdurr","strepoli","ouvrifier","토쇠골","铁骨土人","鐵骨土人"
"534","ローブシン","conkeldurr","meistagrif","bétochef","노보청","修建老匠","修建老匠"
"535","オタマロ","tympole","schallquap","tritonde","동챙이","圆蝌蚪","圓蝌蚪"
"536","ガマガル","palpitoad","mebrana","batracné","두까비","蓝蟾蜍","藍蟾蜍"
"537","ガマゲロゲ","seismitoad","branawarz","crapustule","두빅굴","蟾蜍王","蟾蜍王"
"538","ナゲキ","throh","jiutesto","judokrak","던지미","投摔鬼","投摔鬼"
"539","ダゲキ","sawk","karadonis","karaclée","타격귀","打击鬼","打擊鬼"
"540","クルミル","sewaddle","strawickl","larveyette","두르보","虫宝包","蟲寶包"
"541","クルマユ","swadloon","folikon","couverdure","두르쿤","宝包茧","寶包繭"
"542","ハハコモリ","leavanny","matrifol","manternel","모아머","保姆虫","保母蟲"
"543","フシデ","venipede","toxiped","venipatte","마디네","百足蜈蚣","百足蜈蚣"
"544","ホイーガ","whirlipede","rollum","scobolide","휠구","车轮球","車輪毬"
"545","ペンドラー","scolipede","cerapendra","brutapode","펜드라","蜈蚣王","蜈蚣王"
"546","モンメン","cottonee","waumboll","doudouvet","소미안","木棉球","木棉球"
"547","エルフーン","whimsicott","elfun","farfaduvet","엘풍","风妖精","風妖精"
"548","チュリネ","petilil","lilminip","chlorobule","치릴리","百合根娃娃","百合根娃娃"
"549","ドレディア","lilligant","dressella","fragilady","드레디어","裙儿小姐","裙兒小姐"
"550","バスラオ","basculin","barschuft","bargantua","배쓰나이","野蛮鲈鱼","野蠻鱸魚"
"551","メグロコ","sandile","ganovil","mascaïman","깜눈크","黑眼鳄","黑眼鱷"
"552","ワルビル","krokorok","rokkaiman","escroco","악비르","混混鳄","混混鱷"
"553","ワルビアル","krookodile","rabigator","crocorible","악비아르","流氓鳄","流氓鱷"
"554","ダルマッカ","darumaka","flampion","darumarond","달막화","火红不倒翁","火紅不倒翁"
"555","ヒヒダルマ","darmanitan","flampivian","darumacho","불비달마","达摩狒狒","達摩狒狒"
"556","マラカッチ","maractus","maracamba","maracachi","마라카치","沙铃仙人掌","沙鈴仙人掌"
"557","イシズマイ","dwebble","lithomith","crabicoque","돌살이","石居蟹","石居蟹"
"558","イワパレス","crustle","castellith","crabaraque","암팰리스","岩殿居蟹","岩殿居蟹"
"559","ズルッグ","scraggy","zurrokex","baggiguane","곤율랭","滑滑小子","滑滑小子"
"560","ズルズキン","scrafty","irokex","baggaïd","곤율거니","头巾混混","頭巾混混"
"561","シンボラー","sigilyph","symvolara","cryptéro","심보러","象征鸟","象徵鳥"
"562","デスマス","yamask","makabaja","tutafeh","데스마스","哭哭面具","哭哭面具"
"563","デスカーン","cofagrigus","echnatoll","tutankafer","데스니칸","迭失棺","死神棺"
"564","プロトーガ","tirtouga","galapaflos","carapagos","프로토가","原盖海龟","原蓋海龜"
"565","アバゴーラ","carracosta","karippas","mégapagos","늑골라","肋骨海龟","肋骨海龜"
"566","アーケン","archen","flapteryx","arkéapti","아켄","始祖小鸟","始祖小鳥"
"567","アーケオス","archeops","aeropteryx","aéroptéryx","아케오스","始祖大鸟","始祖大鳥"
"568","ヤブクロン","trubbish","unratütox","miamiasme","깨봉이","破破袋","破破袋"
"569","ダストダス","garbodor","deponitox","miasmax","더스트나","灰尘山","灰塵山"
"570","ゾロア","zorua","zorua","zorua","조로아","索罗亚","索羅亞"
"571","ゾロアーク","zoroark","zoroark","zoroark","조로아크","索罗亚克","索羅亞克"
"572","チラーミィ","minccino","picochilla","chinchidou","치라미","泡沫栗鼠","泡沫栗鼠"
"573","チラチーノ","cinccino","chillabell","pashmilla","치라치노","奇诺栗鼠","奇諾栗鼠"
"574","ゴチム","gothita","mollimorba","scrutella","고디탱","哥德宝宝","哥德寶寶"
"575","ゴチミル","gothorita","hypnomorba","mesmérella","고디보미","哥德小童","哥德小童"
"576","ゴチルゼル","gothitelle","morbitesse","sidérella","고디모아젤","哥德小姐","哥德小姐"
"577","ユニラン","solosis","monozyto","nucléos","유니란","单卵细胞球","單卵細胞球"
"578","ダブラン","duosion","mitodos","méios","듀란","双卵细胞球","雙卵細胞球"
"579","ランクルス","reuniclus","zytomega","symbios","란쿨루스","人造细胞卵","人造細胞卵"
"580","コアルヒー","ducklett","piccolente","couaneton","꼬지보리","鸭宝宝","鴨寶寶"
"581","スワンナ","swanna","swaroness","lakmécygne","스완나","舞天鹅","舞天鵝"
"582","バニプッチ","vanillite","gelatini","sorbébé","바닐프티","迷你冰","迷你冰"
"583","バニリッチ","vanillish","gelatroppo","sorboul","바닐리치","多多冰","多多冰"
"584","バイバニラ","vanilluxe","gelatwino","sorbouboul","배바닐라","双倍多多冰","雙倍多多冰"
"585","シキジカ","deerling","sesokitz","vivaldaim","사철록","四季鹿","四季鹿"
"586","メブキジカ","sawsbuck","kronjuwild","haydaim","바라철록","萌芽鹿","萌芽鹿"
"587","エモンガ","emolga","emolga","emolga","에몽가","电飞鼠","電飛鼠"
"588","カブルモ","karrablast","laukaps","carabing","딱정곤","盖盖虫","蓋蓋蟲"
"589","シュバルゴ","escavalier","cavalanzas","lançargot","슈바르고","骑士蜗牛","騎士蝸牛"
"590","タマゲタケ","foongus","tarnpignon","trompignon","깜놀버슬","哎呀球菇","哎呀球菇"
"591","モロバレル","amoonguss","hutsassa","gaulet","뽀록나","败露球菇","敗露球菇"
"592","プルリル","frillish","quabbel","viskuse","탱그릴","轻飘飘","輕飄飄"
"593","ブルンゲル","jellicent","apoquallyp","moyade","탱탱겔","胖嘟嘟","胖嘟嘟"
"594","ママンボウ","alomomola","mamolida","mamanbo","맘복치","保姆曼波","保母曼波"
"595","バチュル","joltik","wattzapf","statitik","피쪼옥","电电虫","電電蟲"
"596","デンチュラ","galvantula","voltula","mygavolt","전툴라","电蜘蛛","電蜘蛛"
"597","テッシード","ferroseed","kastadur","grindur","철시드","种子铁球","種子鐵球"
"598","ナットレイ","ferrothorn","tentantel","noacier","너트령","坚果哑铃","堅果啞鈴"
"599","ギアル","klink","klikk","tic","기어르","齿轮儿","齒輪兒"
"600","ギギアル","klang","kliklak","clic","기기어르","齿轮组","齒輪組"
"601","ギギギアル","klinklang","klikdiklak","cliticlic","기기기어르","齿轮怪","齒輪怪"
"602","シビシラス","tynamo","zapplardin","anchwatt","저리어","麻麻小鱼","麻麻小魚"
"603","シビビール","eelektrik","zapplalek","lampéroie","저리릴","麻麻鳗","麻麻鰻"
"604","シビルドン","eelektross","zapplarang","ohmassacre","저리더프","麻麻鳗鱼王","麻麻鰻魚王"
"605","リグレー","elgyem","pygraulon","lewsor","리그레","小灰怪","小灰怪"
"606","オーベム","beheeyem","megalon","neitram","벰크","大宇怪","大宇怪"
"607","ヒトモシ","litwick","lichtel","funécire","불켜미","烛光灵","燭光靈"
"608","ランプラー","lampent","laternecto","mélancolux","램프라","灯火幽灵","燈火幽靈"
"609","シャンデラ","chandelure","skelabra","lugulabre","샹델라","水晶灯火灵","水晶燈火靈"
"610","キバゴ","axew","milza","coupenotte","터검니","牙牙","牙牙"
"611","オノンド","fraxure","sharfax","incisache","액슨도","斧牙龙","斧牙龍"
"612","オノノクス","haxorus","maxax","tranchodon","액스라이즈","双斧战龙","雙斧戰龍"
"613","クマシュン","cubchoo","petznief","polarhume","코고미","喷嚏熊","噴嚏熊"
"614","ツンベアー","beartic","siberio","polagriffe","툰베어","冻原熊","凍原熊"
"615","フリージオ","cryogonal","frigometri","hexagel","프리지오","几何雪花","幾何雪花"
"616","チョボマキ","shelmet","schnuthelm","escargaume","쪼마리","小嘴蜗","小嘴蝸"
"617","アギルダー","accelgor","hydragil","limaspeed","어지리더","敏捷虫","敏捷蟲"
"618","マッギョ","stunfisk","flunschlik","limonde","메더","泥巴鱼","泥巴魚"
"619","コジョフー","mienfoo","lin-fu","kungfouine","비조푸","功夫鼬","功夫鼬"
"620","コジョンド","mienshao","wie-shu","shaofouine","비조도","师父鼬","師父鼬"
"621","クリムガン","druddigon","shardrago","drakkarmin","크리만","赤面龙","赤面龍"
"622","ゴビット","golett","golbit","gringolem","골비람","泥偶小人","泥偶小人"
"623","ゴルーグ","golurk","golgantes","golemastoc","골루그","泥偶巨人","泥偶巨人"
"624","コマタナ","pawniard","gladiantri","scalpion","자망칼","驹刀小兵","駒刀小兵"
"625","キリキザン","bisharp","caesurio","scalproie","절각참","劈斩司令","劈斬司令"
"626","バッフロン","bouffalant","bisofank","frison","버프론","爆炸头水牛","爆炸頭水牛"
"627","ワシボン","rufflet","geronimatz","furaiglon","수리둥보","毛头小鹰","毛頭小鷹"
"628","ウォーグル","braviary","washakwil","gueriaigle","워글","勇士雄鹰","勇士雄鷹"
"629","バルチャイ","vullaby","skallyk","vostourno","벌차이","秃鹰丫头","禿鷹丫頭"
"630","バルジーナ","mandibuzz","grypheldis","vaututrice","버랜지나","秃鹰娜","禿鷹娜"
"631","クイタラン","heatmor","furnifraß","aflamanoir","앤티골","熔蚁兽","熔蟻獸"
"632","アイアント","durant","fermicula","fermite","아이앤트","铁蚁","鐵蟻"
"633","モノズ","deino","kapuno","solochi","모노두","单首龙","單首龍"
"634","ジヘッド","zweilous","duodino","diamat","디헤드","双首暴龙","雙首暴龍"
"635","サザンドラ","hydreigon","trikephalo","trioxhydre","삼삼드래","三首恶龙","三首惡龍"
"636","メラルバ","larvesta","ignivor","pyronille","활화르바","燃烧虫","燃燒蟲"
"637","ウルガモス","volcarona","ramoth","pyrax","불카모스","火神蛾","火神蛾"
"638","コバルオン","cobalion","kobalium","cobaltium","코바르온","勾帕路翁","勾帕路翁"
"639","テラキオン","terrakion","terrakium","terrakium","테라키온","代拉基翁","代拉基翁"
